  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  4.428100552082e-005  -3.531827642909e-001  1.412731057163e+000  1.373250373169e-001  
  4.528102840900e-005  -3.615616872882e-001  1.446246749153e+000  1.403431561155e-001  
  4.628105129719e-005  -3.699134509407e-001  1.479653803763e+000  1.433557341531e-001  
  4.728107418537e-005  -3.782451874570e-001  1.512980749828e+000  1.463626524926e-001  
  4.828109707356e-005  -3.865650951883e-001  1.546260380753e+000  1.493637924208e-001  
  4.928111996174e-005  -3.948621816377e-001  1.579448726551e+000  1.523590354522e-001  
  5.028114284992e-005  -4.031636533874e-001  1.612654613549e+000  1.553482633344e-001  
  5.128116573811e-005  -4.114225443737e-001  1.645690177495e+000  1.583313580525e-001  
  5.228118862629e-005  -4.196496409434e-001  1.678598563774e+000  1.613082018335e-001  
  5.328121151447e-005  -4.278716857946e-001  1.711486743178e+000  1.642786771514e-001  
  5.428123440266e-005  -4.360999491603e-001  1.744399796641e+000  1.672426667316e-001  
  5.528125729084e-005  -4.442878125352e-001  1.777151250141e+000  1.702000535553e-001  
  5.628128017902e-005  -4.524384985275e-001  1.809753994110e+000  1.731507208649e-001  
  5.728130306721e-005  -4.605722038388e-001  1.842288815355e+000  1.760945521675e-001  
  5.828132595539e-005  -4.686943373314e-001  1.874777349326e+000  1.790314312405e-001  
  5.928134884357e-005  -4.768125001281e-001  1.907250000512e+000  1.819612421356e-001  
  6.028137173176e-005  -4.848845011524e-001  1.939538004610e+000  1.848838691835e-001  
  6.128139461994e-005  -4.928820042134e-001  1.971528016854e+000  1.877991969988e-001  
  6.228141750813e-005  -5.008058080112e-001  2.003223232045e+000  1.907071104840e-001  
  6.328144039631e-005  -5.086479900504e-001  2.034591960202e+000  1.936074948343e-001  
  6.428146328449e-005  -5.164925635011e-001  2.065970254004e+000  1.965002355424e-001  
  6.528148617268e-005  -5.243718371777e-001  2.097487348711e+000  1.993852184025e-001  
  6.628150906086e-005  -5.322361983646e-001  2.128944793459e+000  2.022623295152e-001  
  6.728153194904e-005  -5.400941608919e-001  2.160376643568e+000  2.051314552920e-001  
  6.828155483723e-005  -5.479288834971e-001  2.191715533988e+000  2.079924824595e-001  
  6.928157772541e-005  -5.557376851706e-001  2.222950740683e+000  2.108452980640e-001  
  7.028160061359e-005  -5.635320301927e-001  2.254128120771e+000  2.136897894762e-001  
  7.128162350178e-005  -5.713083902435e-001  2.285233560974e+000  2.165258443951e-001  
  7.228164638996e-005  -5.790635625649e-001  2.316254250259e+000  2.193533508532e-001  
  7.328166927814e-005  -5.868074174498e-001  2.347229669799e+000  2.221721972202e-001  
  7.428169216633e-005  -5.945337889420e-001  2.378135155768e+000  2.249822722077e-001  
  7.528171505451e-005  -6.022347700184e-001  2.408939080074e+000  2.277834648738e-001  
  7.628173794270e-005  -6.099134107530e-001  2.439653643012e+000  2.305756646271e-001  
  7.728176083088e-005  -6.175720004446e-001  2.470288001778e+000  2.333587612312e-001  
  7.828178371906e-005  -6.252036259804e-001  2.500814503922e+000  2.361326448093e-001  
  7.928180660725e-005  -6.328250712910e-001  2.531300285164e+000  2.388972058482e-001  
  8.028182949543e-005  -6.404161947615e-001  2.561664779046e+000  2.416523352027e-001  
  8.128185238361e-005  -6.479854867421e-001  2.591941946968e+000  2.443979241001e-001  
